case_id,country,announcement_date,ingredient,violation_reason,action
CASE-00043,미국,'2020. 2 (20년1월 부적합),"젤리, 사탕류, 소프트(젤리빈, 검드 롭 등), 과일 함유, 초콜릿 무함유 (JELLIEDCANDY, SOFT(JELLIEDCANDY, SOFT(JELLYBEANS, GUMDROPS, ETC.), WITHFRUIT(WITHOUT CHOCOLATE)","표시위반(성분 미표시), 식품첨가물(유해색소 검출)",통관거부 (90일이내 반송/폐기)
CASE-00044,미국,'2020. 2 (20년1월 부적합),"젤리, 사탕류, 소프트(젤리빈, 검드 롭 등), 과일 함유, 초콜릿 무함유","표시위반(성분 미표시), 식품첨가물(유해색소 검출)",통관거부 (90일이내 반송/폐기)
CASE-00045,미국,'2020. 2 (20년1월 부적합),"초콜릿 플레인 쿠키, 비스킷, 웨이퍼","표시위반(①알레르기 유발성분 미표기, ②성분 미표시), 제조위생불량(비위생적인 조건에서 제조, 포장, 보관)",통관거부 (90일이내 반송/폐기)
CASE-00046,미국,'2020. 2 (20년1월 부적합),"초콜릿 플레인 쿠키, 비스킷, 웨이퍼","표시위반(①알레르기 유발성분 미표기, ②성분 미표시, ③보존료 미표시)",통관거부 (90일이내 반송/폐기)
CASE-00047,미국,'2020. 2 (20년1월 부적합),떡(RICE CAKES),표시위반(색소 미표시),통관거부 (90일이내 반송/폐기)
CASE-00048,미국,'2020. 2 (20년1월 부적합),장어(EEL),미생물(리스테리아 검출),통관거부 (90일이내 반송/폐기)
CASE-00049,미국,'2020. 2 (20년1월 부적합),"무알콜음료 (NONALCOHOLIC BEVERAGES, N.E.C.)","표시위반(색소 미표시), 식품첨가물(유해색소 검출)",통관거부 (90일이내 반송/폐기)
CASE-00050,미국,'2020. 2 (20년1월 부적합),"쌀, 자연 그대로 가공(포장형태) (RICE, WILD PROCESSED (PACKAGED))",잔류농약 검출,통관거부 (90일이내 반송/폐기)
CASE-00051,EU,'2020. 2,튀김가루 (TEMPURA POWDER),표시위반(대두 미표시),당국 통보
CASE-00052,중국,'2020. 3 (20년1월 부적합),요거트 파우더 (调味酸奶粉),검사검역 미허가,반송/폐기
CASE-00053,대만,'2020. 3 (20년2월 부적합),깻잎,잔류농약(디메토모르프) 기준 초과 검출,반송/폐기
CASE-00054,대만,'2020. 3 (20년2월 부적합),딸기,잔류농약(사이에노피라펜) 검출,반송/폐기
CASE-00055,미국,'2020. 3 (20년2월 부적합),인삼 (허브 및 식물류 다류) (GINSENG(HERBAL&BOTANICALS TEAS)),"표시위반(①연락처 미제공, ②영양정보 미표시)",통관거부 (90일이내 반송/폐기)
CASE-00056,미국,'2020. 3 (20년2월 부적합),"초콜릿 채운 아이스 쿠키, 비스킷, 웨이퍼 (CHOCOLATE FILLED/ICED COOKIES,BISCUITS AND WAFERS)",표시위반 (알레르기 유발성분 미표기),통관거부 (90일이내 반송/폐기)
CASE-00057,미국,'2020. 3 (20년2월 부적합),"인삼, 건조 또는 페이스트(구근 및 괴경류) (GINSENG, DRIED OR PASTE (ROOT & TUBER VEGETABLE))","비위생적 처리(비위생적 조건에서 조리, 포장, 보관, 또는 불충분한 산성화로 건강에 유해 가능성)",통관거부 (90일이내 반송/폐기)
CASE-00058,미국,'2020. 3 (20년2월 부적합),민어(CROAKER),미생물(살모넬라 검출),통관거부 (90일이내 반송/폐기)
CASE-00059,미국,'2020. 3 (20년2월 부적합),"수산물/수산식품 혼합 제품 (MIXED FISHERY/SEAFOOD PRODUCTS, N.E.C.)","제조위생불량(비위생적인 조건에서 제조, 가공, 포장)",통관거부 (90일이내 반송/폐기)
CASE-00060,미국,'2020. 3 (20년2월 부적합),"비탄산 청량음료 (NONCARBONATED SOFT DRINK, N.E.C.)",표시위반 (영양정보 미표시),통관거부 (90일이내 반송/폐기)
CASE-00061,미국,'2020. 3 (20년2월 부적합),"채소 수프, 크림 (VEGETABLE (SINGLE INGREDIENT NOT MENTIONEDELSEWHERE)SOUP,CREAMED)","기타(①저산성식품 제조업체 미등록, ②제조공정 미제출)",통관거부 (90일이내 반송/폐기)
CASE-00062,중국,'2020. 4 (20년3월 부적합),한국식 쌀밥 (韩式米饭),증서 또는 합격증명자료 미제출,반송/폐기
CASE-00063,중국,'2020. 4 (20년3월 부적합),탕(국)재료 (汤料),증서 또는 합격증명자료 미제출,반송/폐기
CASE-00064,중국,'2020. 4 (20년3월 부적합),유자맛 분말(고체음료) (柚子味冲饮粉 (固体饮料)),비식용 첨가물 규산나트륨 검출,반송/폐기
CASE-00065,중국,'2020. 4 (20년3월 부적합),딸기맛 요거트 (草莓味酸奶),지방 함량이 국가표준 요구에 부적합,반송/폐기
CASE-00066,중국,'2020. 4 (20년3월 부적합),복숭아맛 요거트 (桃子味酸奶),지방 함량이 국가표준 요구에 부적합,반송/폐기
CASE-00067,중국,'2020. 4 (20년3월 부적합),키위맛 요거트 (猕猴桃味酸奶),지방 함량이 국가표준 요구에 부적합,반송/폐기
CASE-00068,미국,'2020. 4 (20년 3월 부적합),"음료 베이스, 아열대 또는 열대 과일 (BEVERAGE BASE, SUBTROPICAL OR TROPICAL FRUIT)",식품첨가물(유해색소 검출),통관거부 (90일 이내 반송/폐기)
CASE-00069,미국,'2020. 4 (20년 3월 부적합),"혼합 채소 등 (MIXED VEGETABLES, N.E.C.)",표시위반(영어 미표기),통관거부 (90일 이내 반송/폐기)
CASE-00070,미국,'2020. 4 (20년 3월 부적합),"곶감 또는 감 으깬 것 (PERSIMMON, DRIED OR PASTE)",잔류농약 검출,통관거부 (90일 이내 반송/폐기)
CASE-00071,미국,'2020. 4 (20년 3월 부적합),"어묵, 볼, 등 (FISH CAKES, BALLS, ETC., N.E.C.)","표시위반(①성분 미표시, ②영어 미표기)",통관거부 (90일 이내 반송/폐기)
CASE-00072,EU,'2020. 4,딸기 크림맛 탄산음료 (carbonated strawberry and cream flavoured soft drink),"알레르기 유발성분 미표시 (우유, 대두)",경고
CASE-00073,일본,'2020. 5,스낵과자류 (スナック菓子類),사용기준 부적합 (사카린나트륨0.189 g/kg 검출),반송/폐기
CASE-00074,일본,'2020. 5,비가열 섭취 냉동식품 - 깻잎 김치(エゴマの葉キムチ),성분 규격 부적합 (대장균군 양성),반송/폐기
CASE-00075,일본,'2020. 5,비가열 섭취 냉동식품 - 절단 말린무 무침 (切り干し大根の和え物),"성분 규격 부적합 (①세균수 120,000/g ②대장균군 양성)",반송/폐기
CASE-00076,미국,'2020. 5 (20년 4월 부적합),"어류 (FISH, N.E.C.)","제조위생불량 (비위생적인조건에서제조, 가공, 포장)",통관거부 (90일 이내 반송/폐기)
CASE-00077,미국,'2020. 5 (20년 4월 부적합),"조미료 (CONDIMENTS, N.E.C.)",표시위반 (①라벨표시 부적합 ②영어 미표기 ③일반명 미표시),통관거부 (90일 이내 반송/폐기)
CASE-00078,미국,'2020. 5 (20년 4월 부적합),"곶감 또는 감 으깬 것 (PERSIMMON, DRIED OR PASTE)",잔류농약 검출,통관거부 (90일 이내 반송/폐기)
CASE-00079,미국,'2020. 5 (20년 4월 부적합),"양식수확 수산물/수산식품 (AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS, N.E.C.,)","제조위생불량 (비위생적인 조건에서 조리, 포장)",통관거부 (90일 이내 반송/폐기)
CASE-00080,미국,'2020. 5 (20년 4월 부적합),멸치 (ANCHOVY),"제조위생불량 (비위생적인조건에서제조, 가공, 포장)",통관거부 (90일 이내 반송/폐기)
CASE-00081,미국,'2020. 5 (20년 4월 부적합),"대구류 (POLLACK, POLLOCK)","제조위생불량 (비위생적인조건에서제조, 가공, 포장)",통관거부 (90일 이내 반송/폐기)
CASE-00082,미국,'2020. 5 (20년 4월 부적합),무(덩이뿌리류) CHINESE RADISH (DAIKON) (ROOT TUBER VEGETABLE)),잔류농약 검출,통관거부 (90일 이내 반송/폐기)
CASE-00083,미국,'2020. 5 (20년 4월 부적합),"팽이버섯 (ENOKITAKE MUSHROOMS, WHOLE (BUTTON) (FUNGI))",미생물(리스테리아 검출),통관거부 (90일 이내 반송/폐기)
CASE-00084,미국,'2020. 5 (20년 4월 부적합),"플레인 쿠키, 비스킷, 웨이퍼 (PLAIN COOKIES,BISCUITS AND WAFERS, N.E.C.)",식품첨가물(유해 첨가물),통관거부 (90일 이내 반송/폐기)
CASE-00085,미국,'2020. 5 (20년 4월 부적합),"수산물/수산식품 혼합 제품 (MIXED FISHERY/SEAFOOD PRODUCTS, N.E.C.)",표시위반 (①알레르기유발성분미표시②라벨표시 부적합③성분미표시④일반명미표시),통관거부 (90일 이내 반송/폐기)
CASE-00086,미국,'2020. 5 (20년 4월 부적합),"어류 (FISH, N.E.C.)",표시위반 (알레르기 유발성분 미표기),통관거부 (90일 이내 반송/폐기)
CASE-00087,미국,'2020. 5 (20년 4월 부적합),"사탕류(초콜릿 무함유) (CANDY SPECIALTIES, N.E.C. (WITHOUT CHOCOLATE))",식품첨가물(유해 첨가물),통관거부 (90일 이내 반송/폐기)
CASE-00088,미국,'2020. 5 (20년 4월 부적합),"두부 (BEAN CURD, FRESH - SOFT OR HARD (PACKAGE CONTAINS SEPARATE COMPONENTS, REQUIRE MIX/COOK)",표시위반 (①성분 미표시 ②영어 미표기 ③영양정보 미표시),통관거부 (90일 이내 반송/폐기)
CASE-00089,미국,'2020. 5 (20년 4월 부적합),"잎 줄기 채소, 건조 또는 페이스트 (LEAF STEM VEGETABLES, DRIED OR PASTE, N.E.C.)",잔류농약 검출,통관거부 (90일 이내 반송/폐기)
CASE-00090,EU,'2020. 4,한국산 말린 다시마 (dried kombu seaweed),요오드 다량(2233mg/kg-ppm),수취국 철수
CASE-00091,중국,'2020. 6 (20년 4월 부적합),김치라면 (泡菜拉面(油炸方便面)),미생물(균락총수 기준치 초과),반송/폐기
CASE-00092,중국,'2020. 6 (20년 4월 부적합),고체음료 (固体饮料),"중금속(납 기준치 초과), 미생물(①대장균군 기준치 초과 ②균락총수 기준치 초과 ③곰팡이 기준치 초과)",반송/폐기
CASE-00093,중국,'2020. 6 (20년 4월 부적합),와사비맛 김 (芥末味海苔),미생물(균락총수 기준치 초과),반송/폐기
CASE-00094,중국,'2020. 6 (20년 5월 부적합),아몬드 음료 (巴旦木仁饮料),라벨 불합격,반송/폐기
CASE-00095,중국,'2020. 6 (20년 5월 부적합),구운소금 (烤盐),염화나트륨 함량이 국가표준 요구에 부합하지 않음,반송/폐기
CASE-00096,대만,'2020. 6 (20년 5월 부적합),배추,잔류농약 에토펜프록스(Etofenprox) 0.92 ppm 검출,알려진 처리조치 없음
CASE-00097,일본,'2020.6,"피조개(あかがい, 아카가이)",마비성패독(麻痺性貝毒) 7.62MU/g 검출,알려진 처리조치 없음
CASE-00098,일본,'2020.6,레토르트살균식품 (レトルト殺菌食品),성분 규격 부적합 (발육 가능한 미생물 양성),알려진 처리조치 없음
CASE-00099,일본,'2020.6,들깻잎 (エゴマの葉),잔류농약 티아클로프리드(Thiacloprid) 0.2 ppm 검출,알려진 처리조치 없음
CASE-00100,미국,'2020. 6 (20년 4월 부적합),"팽이버섯 (ENOKITAKE MUSHROOMS, WHOLE (BUTTON) (FUNGI))","비위생적 처리(위반코드 3821: 제조(비위생적인 환경에서 준비, 포장 또는 보관, 위반코드 308: 제조 위생불량(비위생적인 조건에서 제조, 가공, 포장), 유해물질 함유",통관거부 (90일 이내 반송/폐기)
CASE-00101,미국,'2020. 6 (20년 4월 부적합),"곶감 또는 감 으깬 것 (PERSIMMON, DRIED OR PASTE)",잔류농약 검출,통관거부 (90일 이내 반송/폐기)
CASE-00102,미국,'2020. 6 (20년 4월 부적합),장어 (EEL),미생물(리스테리아 검출),통관거부 (90일 이내 반송/폐기)
CASE-00103,미국,'2020. 6 (20년 4월 부적합),"안젤리카 (허브 및 식물류, 다류 외 제품) (ANGELICA (HERBAL BOTANICALS, NOT TEAS))",제조공정 미제출,통관거부 (90일 이내 반송/폐기)
CASE-00104,미국,'2020. 6 (20년 4월 부적합),"팽이버섯 (ENOKITAKE MUSHROOMS, WHOLE (BUTTON) (FUNGI))","비위생적 처리(위반코드 186: 위생불량(오물 오염 가능성이 있거나 건강에 해가 될 수 있는 비위생적인 조건에서 조리, 포장, 보관, 위반코드 3821:  제조(비위생적인 환경에서 준비, 포장 또는 보관), 유해물질 함유",통관거부 (90일 이내 반송/폐기)
CASE-00105,미국,2020. 6 (20년 4월 부적합),"팽이버섯 (ENOKITAKE MUSHROOMS, WHOLE (BUTTON) (FUNGI))","비위생적 처리(위반코드 186: 위생불량(오물 오염 가능성이 있거나 건강에 해가 될 수 있는 비위생적인 조건에서 조리, 포장, 보관, 위반코드 3821: 제조(비위생적인 환경에서 준비, 포장 또는 보관), 유해물질 함유",통관거부 (90일 이내 반송/폐기)
CASE-00106,미국,'2020. 6 (20년 4월 부적합),"자두, 주스, 핵과 주스 또는 농축액 (PLUM, JUICE, PIT FRUIT JUICES OR CONCENTRATES)",표시(허위 또는 오표시),통관거부 (90일 이내 반송/폐기)
CASE-00107,미국,'2020. 6 (20년 4월 부적합),"초콜릿 채운 아이스 쿠키, 비스킷, 웨이퍼 (CHOCOLATE FILLED/ICED COOKIES,BISCUITS AND WAFERS)","표시(①알레르기 유발물질 미표시, ②성분 미표시, ③영양정보 표시)",통관거부 (90일 이내 반송/폐기)
CASE-00108,미국,'2020. 6 (20년 4월 부적합),"인삼 (허브 및 식물류, 다류 외 제품) (GINSENG (HERBAL BOTANICALS, NOT TEAS))",미승인신약,통관거부 (90일 이내 반송/폐기)
CASE-00109,미국,'2020. 6 (20년 4월 부적합),"허브 식물류 (다류 아님) (HERBALS BOTANICALS (NOT TEAS), N.E.C.)",표시(영어 미표기),통관거부 (90일 이내 반송/폐기)
CASE-00110,중국,'2020. 7 (20년 6월 부적합),김제품 (海苔),식품첨가물 (①소비톨 시럽 ②비타민E),반송/폐기
CASE-00111,대만,'2020. 7 (20년 7월 부적합),배추,잔류농약 디니코나졸(Diniconazole) 0.02 ppm 검출,반송/폐기
CASE-00112,일본,'2020. 7,신선 들깻잎 (生鮮エゴマ),잔류농약 파클로부트라졸(Paclobutrazol) 0.05 ppm 검출,전량 판매완료
CASE-00113,일본,'2020. 7,신선 들깻잎 (生鮮エゴマ),"잔류농약 인독사카브(Indoxacarb) 1.13 ppm, 파클로부트라졸(Paclobutrazol) 0.18 ppm, 테플루벤주론(Teflubenzuron) 0.80 ppm 검출",전량 판매완료후 회수 진행
CASE-00114,미국,'2020. 7 (20년 6월 부적합),청어 (HERRING),"비위생적 처리(위반코드308: 제조 위생불량(비위생적인 조건에서 제조, 가공, 포장)",통관거부 (90일 이내 반송/폐기)
CASE-00115,미국,'2020. 7 (20년 6월 부적합),"곶감 또는 감 으깬 것 (PERSIMMON, DRIED OR PASTE)",잔류농약 검출,통관거부 (90일 이내 반송/폐기)
CASE-00116,미국,'2020. 7 (20년 6월 부적합),"팽이버섯 (ENOKITAKE MUSHROOMS, WHOLE (BUTTON) (FUNGI))","비위생적 처리 (①위반코드3821: 제조(비위생적인 환경에서 준비, 포장 또는 보관 ②위반코드308: 제조 위생불량(비위생적인 조건에서 제조, 가공, 포장)",통관거부 (90일 이내 반송/폐기)
CASE-00117,중국,'2020. 8. (20년 7월 부적합),구운소금 (烤盐),염화나트륨 함량 국가표준 요구에 부합하지 않음,반송·폐기
CASE-00118,중국,'2020. 8. (20년 7월 부적합),굵은소금 (粗盐),염화나트륨 함량 국가표준 요구에 부합하지 않음,반송·폐기
CASE-00119,중국,'2020. 8. (20년 7월 부적합),허니 머스타드 (蜂蜜芥末酱),영양강화제 NaFeEDTA (ethylenediaminetetraacetate) 사용범위 위반,반송·폐기
CASE-00120,대만,'2020. 8.,배추 (FRESH CHINESE CABBAGE),잔류농약 플로니카미드(Flonicamid) 0.03 ppm 검출,반송·폐기
CASE-00121,일본,'2020. 8.,활 피조개 (活あかがい),설사성패독 0.19mgOA당량/kg 검출,반송·폐기
CASE-00122,일본,'2020. 8.,활 피조개 (活あかがい),설사성패독 0.30mgOA당량/kg 검출,반송·폐기
CASE-00123,일본,'2020. 8.,활 바지락 (活あさり),설사성패독 0.22mgOA당량/kg 검출,반송·폐기
CASE-00124,일본,'2020. 8.,활 바지락 (活あさり),설사성패독 0.26mgOA당량/kg 검출,반송·폐기
CASE-00125,일본,'2020. 8.,활 바지락 (活あさり),설사성패독 0.27mgOA당량/kg 검출,반송·폐기
CASE-00126,일본,'2020. 8.,활 바지락 (活あさり),설사성패독 0.28mgOA당량/kg 검출,반송·폐기
CASE-00127,일본,'2020. 8.,삶은 문어 (ゆでだこ),성분규격 부적합-대장균군 검출(양성),반송·폐기
CASE-00128,일본,'2020. 8.,들깻잎 (生鮮エゴマの葉),테트라코나졸(Tetraconazole) 0.03 ppm 검출,회수
CASE-00129,미국,'2020. 8. (20년 6월 부적합),"혼합 플레인 쿠키, 비스킷, 웨이퍼 (MIXED PLAIN COOKIES, BISCUITS AND WAFERS)",①알레르기 유발물질 미표시 ②일반성분 미표시 ③영양정보 미표시,통관거부 (90일 이내 반송/폐기)
CASE-00130,중국,'2020. 9. (20년 8월 부적합),굵은소금 (粗盐),염화나트륨 함량 국가표준 요구에 부합하지 않음,반송·폐기
CASE-00131,일본,'2020. 9.,무가열 섭취 냉동식품 (無加熱摂取冷凍食品) 삶은 붕장어 (煮あなご),"성분 규격 부적합 (① 세균수 기준초과 : 130,000/g 검출, ② 대장균군 검출)",반송·폐기
CASE-00132,미국,'2020. 9. (20년 7월 부적합),"팽이버섯 (ENOKITAKE MUSHROOMS, WHOLE (BUTTON) (FUNGI))",미생물(리스테리아 검출),통관거부 (90일 이내 반송/폐기)
CASE-00133,미국,'2020. 9. (20년 8월 부적합),"팽이버섯 (ENOKITAKE MUSHROOMS, WHOLE (BUTTON) (FUNGI))",미생물(리스테리아 검출),통관거부 (90일 이내 반송/폐기)
CASE-00134,미국,'2020. 9. (20년 8월 부적합),"면류, 인스턴트 (NOODLES, INSTANT)","표시위반 (①알레르기유발물질미표시, ②성분미표시)",통관거부 (90일 이내 반송/폐기)
CASE-00135,미국,'2020. 9. (20년 8월 부적합),"면류, 인스턴트 (NOODLES, INSTANT)",표시위반 (①알레르기유발성분미표시②허위표시 ③성분미표시④영어미표기⑤영양정보미표시),통관거부 (90일 이내 반송/폐기)
CASE-00136,미국,'2020. 9. (20년 8월 부적합),"두부 (여러가지식품, 반찬및디저트) (BEAN CURD, FRESH - SOFT OR HARD (MULTIPLE FOOD SPECIALTIES, SIDE DISHES AND DESSERTS))",표시위반(영양정보 미표시),통관거부 (90일 이내 반송/폐기)
CASE-00137,미국,'2020. 9. (20년 8월 부적합),넙치 (TURBOT),비위생적처리(HACCP 부적합),통관거부 (90일 이내 반송/폐기)
CASE-00138,중국,'2020. 10. (20년 9월 부적합),프로바이오틱스 고체음료 (益生菌固体饮料),식품첨가물 (비식용첨가물 히알루론산나트륨 검출),반송·폐기
CASE-00139,중국,'2020. 10. (20년 9월 부적합),풍미음료 (风味饮料),표시위반 (라벨 불합격),반송·폐기
CASE-00140,대만,'2020. 10. (20년 9월 부적합),신선멜론 (FRESH MELON),잔류농약 (비터타놀(Bitertanol) 0.29 ppm 검출),반송·폐기
CASE-00141,일본,'2020. 10. (20년 9월 부적합),어육연제품(魚肉ねり製品) DRIED FISH CAKE,미생물 (대장균군 검출),반송·폐기
CASE-00142,일본,'2020. 10.,무가열 섭취 냉동식품 (無加熱摂取冷凍食品) 게류(かに類),미생물 (대장균군 검출),반송·폐기
CASE-00143,일본,'2020. 10.,분말청량음료 (粉末清涼飲料),미생물 (대장균군 검출),반송·폐기
CASE-00144,일본,'2020. 10.,조미료(調味料) 허니머스터드소스 (ハニ マスタ ドソ ス),"식품첨가물 (EDTA칼슘2나트륨, 파라옥신안식향산에틸사용)",반송·폐기
CASE-00145,일본,'2020. 10.,조미료 (調味料),식품첨가물 (폴리소르베이트80 0.15g/kg 검출),반송·폐기
CASE-00146,일본,'2020. 10.,신선 부추 (生鮮にら),"잔류농약 (클로페나피르0.02ppm, 프로사이미돈0.19ppm검출)",반송·폐기
